county_fips,year,classified_dates,events_started
48001,2015,18,6
48001,2016,26,9
48001,2017,17,7
48001,2018,4,2
48001,2019,9,2
48001,2020,10,3
48001,2021,18,5
48001,2022,15,5
48001,2023,17,6
48001,2024,43,12
48001,2025,39,12
48003,2015,11,5
48003,2016,24,7
48003,2017,26,11
48003,2018,5,2
48003,2019,2,1
48003,2020,11,5
48003,2021,16,7
48003,2022,4,2
48003,2023,19,5
48003,2024,5,2
48003,2025,20,6
48005,2015,11,4
48005,2016,26,10
48005,2017,26,9
48005,2018,7,3
48005,2020,8,3
48005,2021,22,8
48005,2022,16,4
48005,2023,14,6
48005,2024,31,10
48005,2025,37,12
48007,2015,7,2
48007,2016,32,13
48007,2017,109,27
48007,2018,4,2
48007,2019,12,5
48007,2020,43,13
48007,2021,28,10
48007,2022,30,10
48007,2023,99,16
48007,2024,108,17
48007,2025,100,22
48009,2015,2,1
48009,2016,16,5
48009,2017,10,3
48009,2020,5,2
48009,2021,8,2
48009,2022,5,2
48009,2023,16,8
48009,2024,7,3
48009,2025,14,3
48011,2015,17,7
48011,2016,14,6
48011,2017,16,6
48011,2018,12,5
48011,2019,14,6
48011,2020,21,9
48011,2021,23,8
48011,2022,14,5
48011,2023,32,13
48011,2024,30,11
48011,2025,21,6
48013,2015,2,1
48013,2016,11,5
48013,2017,18,5
48013,2018,8,3
48013,2019,17,6
48013,2020,19,7
48013,2021,20,8
48013,2022,22,8
48013,2023,30,11
48013,2024,7,3
48013,2025,30,9
48015,2015,6,2
48015,2016,18,7
48015,2017,21,7
48015,2018,10,5
48015,2019,7,3
48015,2020,8,3
48015,2021,11,3
48015,2022,8,4
48015,2023,6,2
48015,2024,6,3
48015,2025,23,5
48017,2015,6,2
48017,2016,5,2
48017,2017,11,4
48017,2018,7,3
48017,2019,6,3
48017,2020,20,8
48017,2021,13,5
48017,2022,11,4
48017,2023,14,6
48017,2024,14,7
48017,2025,21,7
48019,2015,9,4
48019,2016,31,10
48019,2017,38,15
48019,2018,13,6
48019,2019,21,7
48019,2020,15,6
48019,2021,10,5
48019,2022,30,11
48019,2023,31,8
48019,2024,6,2
48019,2025,17,4
48021,2015,10,5
48021,2016,22,8
48021,2017,26,10
48021,2018,4,2
48021,2019,4,2
48021,2020,7,3
48021,2021,10,4
48021,2022,9,3
48021,2023,27,11
48021,2024,29,11
48021,2025,36,10
48023,2015,14,6
48023,2016,15,6
48023,2017,16,6
48023,2018,2,1
48023,2020,7,3
48023,2021,12,4
48023,2022,20,7
48023,2023,20,10
48023,2024,26,9
48023,2025,16,4
48025,2015,5,2
48025,2016,22,7
48025,2017,27,10
48025,2018,10,5
48025,2019,16,7
48025,2020,32,12
48025,2021,8,2
48025,2022,12,5
48025,2023,58,16
48025,2024,20,9
48025,2025,39,14
48027,2015,5,2
48027,2016,31,10
48027,2017,10,4
48027,2018,2,1
48027,2019,14,4
48027,2020,12,6
48027,2021,21,7
48027,2022,13,5
48027,2023,44,13
48027,2024,31,11
48027,2025,34,11
48029,2015,11,5
48029,2016,35,9
48029,2017,24,8
48029,2018,4,2
48029,2019,6,2
48029,2020,11,3
48029,2021,9,3
48029,2022,17,6
48029,2023,28,8
48029,2024,29,11
48029,2025,39,10
48031,2015,9,4
48031,2016,12,6
48031,2017,17,6
48031,2018,2,1
48031,2019,13,5
48031,2020,11,4
48031,2021,13,5
48031,2022,78,20
48031,2023,89,21
48031,2024,57,18
48031,2025,31,8
48033,2016,12,4
48033,2017,12,5
48033,2018,7,3
48033,2019,8,3
48033,2020,8,4
48033,2021,14,6
48033,2022,6,3
48033,2023,19,7
48033,2024,10,4
48033,2025,16,5
48035,2015,2,1
48035,2016,13,6
48035,2017,7,3
48035,2018,3,1
48035,2019,2,1
48035,2020,2,1
48035,2021,12,2
48035,2023,20,7
48035,2024,13,5
48035,2025,16,4
48037,2015,10,3
48037,2016,37,12
48037,2017,17,6
48037,2018,16,4
48037,2019,12,3
48037,2020,7,2
48037,2021,13,4
48037,2022,11,3
48037,2023,25,12
48037,2024,22,8
48037,2025,28,7
48039,2015,17,6
48039,2016,66,18
48039,2017,54,18
48039,2018,11,5
48039,2019,5,1
48039,2020,20,6
48039,2021,19,5
48039,2022,6,1
48039,2023,61,19
48039,2024,40,11
48039,2025,27,6
48041,2015,6,3
48041,2016,15,4
48041,2017,20,7
48041,2018,2,1
48041,2019,4,2
48041,2020,12,4
48041,2021,18,6
48041,2022,31,12
48041,2023,69,20
48041,2024,32,11
48041,2025,37,9
48043,2016,8,2
48043,2017,19,6
48043,2018,6,3
48043,2019,13,4
48043,2020,10,3
48043,2021,18,6
